Given example
vfile
10
0 0
1 2
2 2
3 0
4 0
5 1
6 0
7 1
8 0
9 2

efile
10
0 1
1 2
2 3
3 4
4 9
0 5
5 6
6 7
7 8
8 9

Single vertex
vfile
1
0 0

efile
0

jin random 1
vfile
76
46 0
4 0
40 1
13 1
1 1
59 2
3 2
48 2
36 1
31 2
32 1
64 1
6 1
67 0
50 0
45 0
52 2
38 1
51 1
26 1
66 0
8 1
63 0
23 1
54 1
37 0
35 0
75 0
70 2
58 2
18 1
25 1
28 1
16 0
5 0
62 0
61 2
68 1
2 1
34 1
0 0
71 2
27 2
20 1
22 2
30 0
73 2
69 1
41 0
42 2
10 0
74 0
29 1
60 1
7 1
65 0
11 0
33 2
39 2
9 2
17 2
43 0
15 0
57 0
53 2
55 1
44 0
24 1
21 0
56 1
12 2
14 1
19 0
47 1
72 0
49 1

efile
75
57 15
32 64
40 13
22 30
17 43
25 28
75 70
48 36
65 11
33 11
19 14
44 55
26 66
64 6
40 4
16 5
41 42
72 49
60 29
9 17
43 15
25 18
27 20
2 34
5 62
61 62
73 30
56 12
74 29
65 7
73 69
58 70
27 71
56 21
1 59
0 71
4 46
10 74
48 3
50 45
26 51
3 59
41 69
60 7
9 39
53 55
58 18
54 23
68 61
1 13
51 38
35 37
75 35
32 31
23 63
20 22
12 14
24 44
8 66
67 6
42 10
52 45
52 38
8 63
33 39
57 53
19 47
36 31
72 47
37 54
2 68
16 28
50 67
24 21
0 34

jin random 2
vfile
10
8 1
5 0
9 2
3 2
7 2
1 0
4 1
0 2
6 0
2 0

efile
9
1 4
1 7
9 3
3 7
0 6
2 6
0 4
8 5
9 5

jin random 3
vfile
28
9 1
8 0
10 1
1 2
0 0
4 2
19 0
15 0
27 2
25 2
23 0
21 1
11 1
22 1
3 1
16 2
18 1
26 2
13 1
6 2
17 0
12 0
14 0
24 2
5 0
20 2
7 0
2 2

efile
27
17 12
26 13
24 14
21 23
13 6
1 10
17 6
25 23
0 4
8 10
11 21
20 7
27 15
24 5
0 1
11 22
16 18
2 7
18 26
12 14
3 22
8 9
19 4
19 15
25 27
16 3
20 5

jin random 4
vfile
79
58 0
25 1
30 0
38 1
13 0
16 0
62 1
46 1
55 0
33 2
43 1
26 1
78 1
67 2
15 0
4 1
27 2
70 0
44 0
64 1
24 0
35 2
12 0
21 1
28 0
9 2
41 2
39 0
76 0
11 2
36 1
61 0
69 2
74 2
54 1
63 2
7 1
18 0
71 0
68 2
77 0
40 2
57 1
51 1
14 0
23 2
6 0
31 0
22 1
50 0
10 0
56 1
19 2
66 0
60 0
73 0
20 0
3 0
2 1
34 0
75 1
17 1
53 1
45 0
48 1
8 2
29 2
59 1
0 2
1 1
72 0
32 2
49 2
37 0
65 0
42 1
47 0
52 2
5 2

efile
78
67 78
18 71
2 3
12 21
57 51
73 60
59 29
56 10
54 63
64 44
16 13
45 53
52 47
56 19
9 41
34 75
40 57
7 63
49 37
72 32
2 34
11 36
68 77
26 43
6 31
42 47
66 60
32 49
65 42
67 15
28 21
0 59
17 53
8 29
25 58
33 43
26 78
38 30
40 77
4 15
35 12
9 28
50 22
72 1
65 37
64 24
76 39
14 23
74 54
48 8
51 14
69 61
36 61
44 70
11 76
41 39
6 23
0 1
46 62
50 10
16 62
17 75
24 35
33 55
73 20
74 69
18 7
22 31
25 30
27 4
66 19
13 38
52 5
46 55
48 45
27 70
3 20
68 71

jin random 5
vfile
18
4 0
8 2
7 0
2 0
15 2
11 1
0 1
9 2
10 2
1 2
6 0
17 2
12 1
5 1
14 2
16 0
13 1
3 1

efile
17
16 14
9 10
17 12
5 14
12 5
2 15
8 7
11 15
1 6
16 13
3 13
0 11
1 10
2 7
8 4
17 6
0 9

jin random 6
vfile
69
35 1
1 0
4 1
25 1
49 2
2 1
21 0
11 2
37 2
55 0
57 1
10 1
19 2
9 0
43 0
54 2
36 2
20 2
5 2
66 1
7 2
58 2
28 0
56 2
63 0
26 1
50 2
40 1
13 0
52 2
23 2
18 1
6 2
17 1
16 0
39 0
30 0
34 1
3 0
29 0
45 2
33 2
12 2
61 1
48 0
24 0
14 2
22 0
62 1
27 0
53 0
38 2
42 1
64 2
60 1
59 0
47 0
67 2
0 1
65 2
44 2
32 1
51 0
68 0
15 0
31 0
8 2
41 1
46 2

efile
68
25 4
1 4
40 13
43 54
48 24
32 51
9 43
37 55
45 29
33 45
24 14
27 62
32 44
66 7
59 60
57 55
64 42
67 47
40 50
0 67
41 46
66 5
58 7
3 29
17 6
42 38
26 63
65 44
25 49
36 20
18 23
16 17
34 3
27 53
59 47
1 35
11 21
56 28
52 23
12 61
10 19
26 50
57 10
18 6
14 22
68 15
16 39
31 15
34 30
36 54
51 68
2 21
64 60
62 22
0 65
8 31
49 2
8 41
53 38
56 63
33 12
48 61
52 13
30 39
11 37
20 5
9 19
58 28

jin random 7
vfile
66
32 0
10 2
48 2
5 1
65 0
16 0
13 2
56 2
9 2
4 1
12 1
11 0
62 0
36 0
15 2
29 0
49 1
37 0
19 2
63 2
21 1
58 2
42 0
47 0
59 0
53 2
22 0
34 1
6 0
50 2
46 0
40 1
54 1
60 0
1 2
27 0
64 0
18 1
52 0
24 1
45 1
57 1
35 1
2 2
7 1
14 0
38 2
0 0
3 1
51 0
43 0
23 2
31 0
8 1
20 0
44 2
41 0
39 2
30 1
26 0
55 2
25 2
61 2
28 1
33 0
17 0

efile
65
40 46
11 12
26 55
25 55
8 20
18 52
43 51
58 21
14 7
58 42
24 45
33 28
9 4
65 5
1 27
36 15
21 63
24 52
41 44
0 3
32 10
42 47
59 47
60 54
0 38
16 13
16 65
50 46
57 35
50 6
34 22
53 22
34 6
49 29
41 39
64 27
26 30
36 62
56 13
2 35
31 23
38 14
25 61
51 3
2 7
8 31
19 37
43 23
48 5
29 15
56 9
48 10
4 12
30 39
49 37
33 17
59 53
19 63
1 60
64 18
11 62
40 54
57 45
20 44
28 61

jin random 8
vfile
84
39 1
61 1
56 0
12 0
0 1
1 0
25 0
49 1
14 2
9 0
6 2
67 1
4 2
41 1
11 2
65 2
82 1
38 2
40 0
24 0
37 1
32 0
17 1
36 1
51 1
59 0
21 1
20 0
60 0
54 1
50 1
29 1
42 2
23 2
16 1
66 0
78 0
58 0
69 2
83 0
35 0
15 2
81 0
71 1
62 2
53 0
8 1
74 1
48 0
80 2
30 2
44 2
5 2
2 1
28 1
57 1
31 0
63 2
77 2
3 0
79 2
73 1
13 2
75 0
26 1
52 2
72 2
45 2
64 0
22 1
68 0
47 1
18 1
19 2
10 0
7 2
43 0
55 2
27 0
76 1
70 0
46 2
33 0
34 2

efile
83
76 70
75 13
65 11
65 82
51 36
46 70
66 78
50 29
60 54
40 38
24 37
27 76
27 55
9 14
80 30
68 47
68 22
32 17
61 39
16 23
2 5
35 83
50 54
57 31
56 12
33 46
56 61
59 21
44 5
35 15
81 15
72 45
41 4
42 29
25 49
41 11
73 79
83 69
43 7
26 75
63 31
2 28
48 74
16 66
18 47
64 22
48 80
53 62
67 6
73 13
81 71
0 12
3 77
72 52
8 53
18 19
10 19
32 37
3 79
42 23
0 1
58 69
20 21
40 24
77 63
59 51
62 71
43 55
1 25
9 6
10 7
8 74
67 4
26 52
44 30
20 60
64 45
33 34
58 78
57 28
49 14
82 38
17 36

jin random 9
vfile
40
18 0
9 2
38 2
34 1
30 2
32 0
8 2
19 1
39 2
27 2
22 1
37 0
13 2
15 0
33 1
23 2
16 0
24 2
35 0
26 1
36 0
0 1
7 2
20 0
17 0
14 2
1 0
28 0
12 2
11 0
25 0
21 1
29 1
5 1
10 1
3 1
6 2
2 1
4 1
31 2

efile
39
28 12
1 28
13 37
11 12
29 21
2 6
4 31
32 30
33 15
24 35
8 19
25 11
19 39
1 14
32 8
27 39
27 22
20 7
33 23
5 29
2 4
0 7
17 14
16 24
13 15
26 36
0 36
34 30
3 6
10 5
37 22
26 35
34 38
9 18
25 21
16 23
10 3
17 20
9 38

jin random 10
vfile
41
5 2
19 1
6 1
10 2
18 1
37 1
13 0
31 0
30 0
0 1
1 0
4 2
12 1
25 0
3 2
27 2
2 0
8 1
22 1
24 2
21 2
40 1
28 2
17 1
29 1
36 0
39 2
32 1
15 2
33 0
11 1
7 2
20 2
16 0
38 2
14 1
35 2
26 1
23 1
34 1
9 1

efile
40
8 2
1 4
35 14
13 37
33 11
16 38
32 15
33 15
13 31
10 18
8 22
26 23
24 22
32 39
40 21
9 34
20 7
36 29
34 23
0 30
18 37
0 1
27 3
19 6
25 12
17 28
2 27
38 14
11 7
